energetic_convergences,energy_consumed,UFO_Label,max_spiritual_size,end_time,start_source,end_source,delta_source,TARGET_INIT_MEDITATE,Dimension 4,Dimension 5,start_hour,driveTrain,start_time,
N1t AvaXlabl5,6.853,1,7.7,3044-10-10T18:21:27,11,100,89,851,43.27540823,-179.2419235,4,NUC,3044-10-10T04:10:27,
N1t AvaXlabl5,6.853,1,7.7,3044-10-11T16:38:36,11,100,89,777,43.27539852,-179.2419559,3,NUC,3044-10-11T03:41:28,
R1SSM11R_2_N001,6.545,1,7.7,3044-10-12T22:30:36,15,100,85,1317,43.27539852,-179.2419559,0,NUC,3044-10-12T00:32:45,
R1SSM11R_2_N001,6.853,1,7.7,3044-10-13T18:14:24,11,100,89,771,43.27540823,-179.2419559,5,NUC,3044-10-13T05:22:44,
R1SSM11R_2_N001,6.853,1,7.7,3044-10-15T15:27:33,11,100,89,934,43.27539852,-179.2419559,23,NUC,3044-10-14T23:52:45,
R1SSM11R_2_N001,6.93,1,7.7,3044-10-16T20:54:40,10,100,90,1211,43.27540823,-179.2419235,0,NUC,3044-10-16T00:42:45,
R1SSM11R_2_N001,1.617,1,7.7,3044-10-17T16:03:25,79,100,21,970,43.2754147,-179.2419882,23,NUC,3044-10-16T23:52:45,
R1SSM11R_2_N001,6.853,1,7.7,3044-10-18T20:01:38,11,100,89,1093,43.27539852,-179.2419559,1,NUC,3044-10-18T01:47:45,
R1SSM11R_2_N001,6.622,1,7.7,3044-10-20T19:01:31,14,100,86,868,43.27542603,-179.2419559,4,NUC,3044-10-20T04:32:44,
R1SSM11R_2_N001,7.084,1,7.7,3044-10-22T15:30:16,8,100,92,917,43.27542603,-179.2419559,0,NUC,3044-10-22T00:12:44,
R1SSM11R_2_N001,6.853,1,7.7,3044-10-23T20:15:12,11,100,89,1127,43.27539852,-179.2419882,1,NUC,3044-10-23T01:27:45,
R1SSM11R_2_N001,1.617,1,7.7,3044-10-24T16:13:01,79,100,21,1020,43.27542603,-179.2420076,23,NUC,3044-10-23T23:12:44,
R1SSM11R_2_N001,5.467,1,7.7,3044-10-25T19:58:18,29,100,71,1304,43.27543897,-179.2419559,22,NUC,3044-10-24T22:13:35,
R1SSM11R_2_N001,7.161,1,7.7,3044-10-26T17:36:52,7,100,93,1008,43.27539852,-179.2419559,0,NUC,3044-10-26T00:48:35,
R1SSM11R_2_N001,3.311,1,7.7,3044-10-28T16:55:47,57,100,43,2187,43.27539852,-179.2419559,4,NUC,3044-10-27T04:28:34,
R1SSM11R_2_N001,0.385,1,7.7,3044-10-29T00:03:04,11,16,5,34,43.27540823,-179.2419235,23,NUC,3044-10-28T23:28:35,
R1SSM11R_2_N001,6.853,1,7.7,3044-10-30T17:00:28,11,100,89,946,43.2754147,-179.2419559,1,NUC,3044-10-30T01:13:35,
R1SSM11R_2_N001,6.93,1,7.7,3044-10-31T16:27:53,10,100,90,899,43.2754147,-179.2419235,1,NUC,3044-10-31T01:28:34,
R1SSM11R_2_N001,6.006,1,7.7,3044-11-01T21:51:44,22,100,78,1423,43.27542603,-179.2419235,22,NUC,3044-10-31T22:08:34,
R1SSM11R_2_N001,1.54,1,7.7,3044-11-02T21:03:29,80,100,20,1319,43.27544706,-179.2420076,23,NUC,3044-11-01T23:03:35,
R1SSM11R_2_N001,5.929,1,7.7,3044-11-03T16:00:49,23,100,77,682,43.27540823,-179.2419559,4,NUC,3044-11-03T04:38:34,
N1t AvaXlabl5,6.853,1,7.7,3044-11-04T21:27:21,11,100,89,1368,43.27539852,-179.2419559,22,NUC,3044-11-03T22:38:34,
R1SSM11R_2_N001,2.464,1,7.7,3044-11-05T17:25:58,68,100,32,1027,43.27540823,-179.2419559,0,NUC,3044-11-05T00:18:34,
R1SSM11R_2_N001,6.776,1,7.7,3044-11-06T17:42:15,12,100,88,743,43.27540823,-179.2419559,5,NUC,3044-11-06T05:18:35,
R1SSM11R_2_N001,6.93,1,7.7,3044-11-07T18:15:09,10,100,90,706,43.27538234,-179.2419559,6,NUC,3044-11-07T06:28:34,
R1SSM11R_2_N001,2.233,1,7.7,3044-11-08T02:15:25,28,57,29,221,43.27539852,-179.2419882,22,NUC,3044-11-07T22:33:35,
R1SSM11R_2_N001,6.853,1,7.7,3044-11-08T23:26:40,11,100,89,1123,43.27539852,-179.2419882,4,NUC,3044-11-08T04:43:35,
R1SSM11R_2_N001,6.083,1,7.7,3044-11-09T16:47:45,11,90,79,604,43.2754147,-179.2419235,6,NUC,3044-11-09T06:43:34,
R1SSM11R_2_N001,6.853,1,7.7,3044-11-11T19:43:50,11,100,89,2555,43.27539852,-179.2419559,1,NUC,3044-11-10T01:08:35,
R1SSM11R_2_N001,0.154,1,7.7,3044-11-12T17:27:05,98,100,2,968,43.27540823,-179.2419559,1,NUC,3044-11-12T01:18:35,
R1SSM11R_2_N001,6.006,1,7.7,3044-11-13T22:06:54,22,100,78,968,43.27538881,-179.2420076,5,NUC,3044-11-13T05:58:34,
R1SSM11R_2_N001,1.232,1,7.7,3044-11-14T21:54:11,84,100,16,1375,43.27543088,-179.2420076,22,NUC,3044-11-13T22:58:34,
R1SSM11R_2_N001,6.699,1,7.7,3044-11-16T17:11:30,12,99,87,672,43.27540823,-179.2419882,5,NUC,3044-11-16T05:58:33,
R1SSM11R_2_N001,3.85,1,7.7,3044-11-19T16:28:16,50,100,50,3944,43.27539529,-179.2419559,22,NUC,3044-11-16T22:43:34,
R1SSM11R_2_N001,5.467,1,7.7,3044-11-22T18:48:02,29,100,71,3044,43.27542603,-179.2420076,16,NUC,3044-11-20T16:03:35,
R1SSM11R_2_N001,7.084,1,7.7,3044-12-02T18:13:12,8,100,92,919,43.27542603,-179.2420076,2,NUC,3044-12-02T02:53:34,
R1SSM11R_2_N001,6.93,1,7.7,3044-12-16T18:18:00,10,100,90,859,43.27551178,-179.2418264,3,NUC,3044-12-16T03:58:34,
R1SSM11R_2_N001,7.084,1,7.7,3045-01-03T21:58:24,8,100,92,1054,43.27553767,-179.2418264,4,NUC,3045-01-03T04:23:34,
R1SSM11R_2_N001,7.161,1,7.7,3045-03-16T21:17:54,7,100,93,1656,43.27542603,-179.2419559,17,NUC,3045-03-15T17:41:00,
R1SSM11R_2_N001,2.387,1,7.7,3045-03-17T15:08:43,69,100,31,692,43.27543088,-179.2420076,3,NUC,3045-03-17T03:36:00,
R1SSM11R_2_N001,4.62,1,7.7,3045-03-20T17:35:13,40,100,60,879,43.2754147,-179.2419882,2,NUC,3045-03-20T02:56:00,
R1SSM11R_2_N001,6.853,1,7.7,3045-03-22T18:22:07,11,100,89,2676,43.27539852,-179.2419882,21,NUC,3045-03-20T21:46:00,
R1SSM11R_2_N001,4.697,1,7.7,3045-03-23T18:45:34,39,100,61,1329,43.27539852,-179.2419235,20,NUC,3045-03-22T20:36:00,
R1SSM11R_2_N001,6.853,1,7.7,3045-03-24T18:47:42,11,100,89,926,43.27537102,-179.2419882,3,NUC,3045-03-24T03:21:00,
R1SSM11R_2_N001,1.309,1,7.7,3045-03-26T00:18:18,11,28,17,122,43.27543088,-179.2419882,22,NUC,3045-03-25T22:16:01,
R1SSM11R_2_N001,6.853,1,7.7,3045-03-27T18:35:43,11,100,89,1214,43.27540823,-179.2419559,22,NUC,3045-03-26T22:21:00,
R1SSM11R_2_N001,0.77,1,7.7,3045-03-28T23:35:11,11,21,10,74,43.27539852,-179.2419235,22,NUC,3045-03-28T22:21:00,
R1SSM11R_2_N001,6.853,1,7.7,3045-03-31T01:33:30,11,100,89,2622,43.27540823,-179.2419559,5,NUC,3045-03-29T05:51:00,
R1SSM11R_2_N001,6.622,1,7.7,3045-03-31T22:57:32,14,100,100,1046,43.2754147,-179.2419235,5,NUC,3045-03-31T05:31:00,
R1SSM11R_2_N001,0,1,7.7,3045-04-02T23:50:42,100,100,100,2914,43.27540823,-179.2419559,23,NUC,3045-03-31T23:16:00,
R1SSM11R_2_N001,6.93,1,7.7,3045-05-01T22:58:17,10,100,100,990,-17.9777776,215.7333312,6,NUC,3045-05-01T06:27:43,
R1SSM11R_2_N001,1.309,1,7.7,3045-05-03T15:47:12,83,100,100,1429,-17.9777776,215.7333312,15,NUC,3045-05-02T15:57:44,
R1SSM11R_2_N001,1.232,1,7.7,3045-05-03T21:24:47,78,94,94,137,-17.9777776,215.7333312,19,NUC,3045-05-03T19:07:44,
R1SSM11R_2_N001,5.313,1,7.7,3045-05-04T16:41:30,31,100,100,623,-17.9777776,215.7333312,6,NUC,3045-05-04T06:17:43,
R1SSM11R_2_N001,6.853,1,7.7,3045-05-06T01:00:02,11,100,100,1102,-17.9777776,215.7333312,6,NUC,3045-05-05T06:37:43,
R1SSM11R_2_N001,6.314,1,7.7,3045-05-06T15:46:13,13,95,95,613,-17.9777776,215.7333312,5,NUC,3045-05-06T05:32:43,
R1SSM11R_2_N001,6.853,1,7.7,3045-05-08T16:34:33,11,100,100,725,-17.9777776,215.7333312,4,NUC,3045-05-08T04:29:04,
R1SSM11R_2_N001,7.161,1,7.7,3045-05-09T20:57:19,7,100,100,1269,-17.9777776,215.7333312,23,NUC,3045-05-08T23:47:44,
R1SSM11R_2_N001,6.083,1,7.7,3045-05-10T23:07:00,21,100,100,1014,-17.9777776,215.7333312,6,NUC,3045-05-10T06:12:44,
R1SSM11R_2_N001,2.233,1,7.7,3045-05-12T00:22:11,71,100,100,424,-17.9777776,215.7333312,17,NUC,3045-05-11T17:17:45,
R1SSM11R_2_N001,0.539,1,7.7,3045-05-14T23:00:38,11,18,18,57,-17.9777776,215.7333312,22,NUC,3045-05-14T22:02:45,
R1SSM11R_2_N001,6.93,1,7.7,3045-05-15T19:22:21,10,100,100,889,-17.9777776,215.7333312,4,NUC,3045-05-15T04:32:43,
R1SSM11R_2_N001,6.853,1,7.7,3045-05-21T19:17:12,11,100,100,7074,-17.9777776,215.7333312,21,NUC,3045-05-16T21:22:44,
R1SSM11R_2_N001,1.925,1,7.7,3045-05-24T15:56:34,75,100,100,3973,-17.9777776,215.7333312,21,NUC,3045-05-21T21:42:45,
R1SSM11R_2_N001,6.314,1,7.7,3045-05-25T21:57:38,18,100,100,1344,-17.9777776,215.7333312,23,NUC,3045-05-24T23:32:43,
R1SSM11R_2_N001,7.007,1,7.7,3045-05-27T18:03:44,9,100,100,1371,-17.9777776,215.7333312,19,NUC,3045-05-26T19:12:43,
R1SSM11R_2_N001,6.853,1,7.7,3045-05-28T20:20:06,11,100,100,1207,-17.9777776,215.7333312,0,NUC,3045-05-28T00:12:43,
R1SSM11R_2_N001,3.85,1,7.7,3045-05-29T16:55:36,50,100,100,987,-17.9777776,215.7333312,0,NUC,3045-05-29T00:27:44,
R1SSM11R_2_N001,5.852,1,7.7,3045-05-30T19:22:32,24,100,100,1199,-17.9777776,215.7333312,23,NUC,3045-05-29T23:22:44,
L1Y1LA_6_N001,4.316,2,33.2,3044-09-20T17:08:47,78,91,91,8,42.50062569,-179.3035369,17,PSY,3044-09-20T17:00:15,
SNJS5A_1_N001,11.288,2,33.2,3044-09-24T18:13:58,61,95,95,29,42.4260456,-178.7515401,17,PSY,3044-09-24T17:44:10,
N1t AvaXlabl5,6.64,2,33.2,3044-10-02T20:38:26,65,85,85,73,42.41317927,-179.0890549,19,PSY,3044-10-02T19:25:12,
PACXFXCA_6_N003,8.3,2,33.2,3044-10-06T16:12:17,57,82,82,12,42.84857659,-180.6875094,16,PSY,3044-10-06T16:00:12,
5MBRCDR_2_N104,7.304,2,33.2,3044-10-06T18:28:01,65,87,87,92,43.16818984,-180.3950074,16,PSY,3044-10-06T16:55:14,
PAULSWT_1_N013,2.324,2,33.2,3044-10-10T20:44:46,93,100,100,304,41.83540117,-179.0529087,15,PSY,3044-10-10T15:40:26,
W1LF5_1_N002,8.3,2,33.2,3044-10-11T00:46:36,75,100,100,196,42.41321486,-179.0890225,21,PSY,3044-10-10T21:30:26,
5LPATX1_1_N001,5.976,2,33.2,3044-10-12T19:53:41,69,87,87,50,42.39486674,-178.9262841,19,PSY,3044-10-12T19:02:43,
L1SGATS_6_N201,0.664,2,33.2,3044-10-17T17:56:53,76,78,78,4,42.25130646,-179.0017605,17,PSY,3044-10-17T17:52:45,
PAULSWT_1_N013,10.956,2,33.2,3044-10-17T23:55:09,41,74,74,87,41.83545942,-179.0528117,22,PSY,3044-10-17T22:27:46,
L1SGATS_6_N201,1.992,2,33.2,3044-10-18T23:16:00,58,64,64,18,42.2500606,-179.0028964,22,PSY,3044-10-18T22:57:44,
5MBRCDR_2_N104,13.944,2,33.2,3044-10-22T21:01:41,35,77,77,138,43.16364812,-180.3785361,18,PSY,3044-10-22T18:42:44,
STATXND_1_N013,5.312,2,33.2,3044-10-22T22:26:51,72,88,88,54,43.23807773,-180.0016392,21,PSY,3044-10-22T21:32:45,
GRXZZLY_7_N101,4.648,2,33.2,3044-10-23T00:52:01,85,99,99,54,43.29307841,-180.0279803,23,PSY,3044-10-22T23:57:44,
HLFMNBY_6_N101,8.632,2,33.2,3044-10-30T00:57:33,20,46,46,14,42.64646574,-180.4588537,0,PSY,3044-10-30T00:43:33,
L1SGATS_6_N201,3.984,2,33.2,3044-11-08T19:00:49,78,90,90,37,42.25136632,-179.0017605,18,PSY,3044-11-08T18:23:33,
GL5NW11D_6_N004,1.66,2,33.2,3044-11-14T19:28:19,76,81,81,19,42.60277003,-179.6124617,19,PSY,3044-11-14T19:08:33,
BLL5HVN_6_N009,7.304,2,33.2,3044-11-14T20:27:34,77,99,99,24,42.66928763,-179.6331753,20,PSY,3044-11-14T20:03:33,
VX5J1SC_2_N001,3.32,2,33.2,3044-11-16T00:23:31,63,73,73,54,41.21648543,-178.728901,23,PSY,3044-11-15T23:28:34,
L1SGATS_6_N201,7.968,2,33.2,3044-11-16T21:32:35,73,97,97,74,42.25012046,-179.0031067,20,PSY,3044-11-16T20:18:34,
PACXFXCA_6_N003,14.608,2,33.2,3044-11-26T17:55:30,54,98,98,26,42.84853776,-180.6872505,17,PSY,3044-11-26T17:28:33,
5MBRCDR_2_N104,2.656,2,33.2,3044-11-30T22:22:10,26,34,34,128,43.16359472,-180.3786526,20,PSY,3044-11-30T20:13:34,
HLFMNBY_6_N101,13.944,2,33.2,3044-12-01T01:42:27,18,60,60,23,42.64646251,-180.4588407,1,PSY,3044-12-01T01:18:33,
HLFMNBY_6_N101,10.624,2,33.2,3044-12-10T17:41:43,60,92,92,18,42.64648192,-180.4588537,17,PSY,3044-12-10T17:23:33,
5MBRCDR_2_N104,7.636,2,33.2,3044-12-10T20:12:04,67,90,90,93,43.16820926,-180.3950074,18,PSY,3044-12-10T18:38:33,
L1SGATS_6_N201,1.328,2,33.2,3044-12-10T23:36:35,42,46,46,12,42.25128542,-179.0018447,23,PSY,3044-12-10T23:23:36,
L1SGATS_6_N201,2.988,2,33.2,3044-12-20T20:35:55,79,88,88,27,42.2513016,-179.0017605,20,PSY,3044-12-20T20:08:33,
L1SGATS_6_N201,7.636,2,33.2,3044-12-20T23:56:23,72,95,95,67,42.25220768,-178.9993853,22,PSY,3044-12-20T22:48:34,
PAULSWT_1_N013,7.636,2,33.2,3044-12-27T21:09:36,77,100,100,86,41.8353947,-179.0528926,19,PSY,3044-12-27T19:43:33,
PAULSWT_1_N013,0.996,2,33.2,3045-01-05T21:07:19,52,55,55,8,41.83541897,-179.0529896,20,PSY,3045-01-05T20:58:35,
PAULSWT_1_N013,0,2,33.2,3045-01-15T23:10:52,74,74,74,8,41.8541635,-179.1050083,23,PSY,3045-01-15T23:02:35,
CRUSH5R_6_N001,0,2,33.2,3045-01-20T01:41:03,100,96,96,11,41.94417931,-179.5534047,1,PSY,3045-01-20T01:29:56,
PAULSWT_1_N013,17.264,2,33.2,3045-01-21T23:26:46,48,100,100,373,41.8353947,-179.0528117,17,PSY,3045-01-21T17:13:34,
5MBRCDR_2_N104,11.288,2,33.2,3045-01-22T19:16:30,33,67,67,142,43.16823838,-180.3951174,16,PSY,3045-01-22T16:53:34,
HLFMNBY_6_N101,12.616,2,33.2,3045-01-23T00:25:50,44,82,82,22,42.64654664,-180.4589184,0,PSY,3045-01-23T00:03:34,
HLFMNBY_6_N101,4.316,2,33.2,3045-01-29T19:52:54,65,78,78,9,42.64651428,-180.4588537,19,PSY,3045-01-29T19:43:33,
PAULSWT_1_N013,0.664,2,33.2,3045-01-31T00:08:04,85,87,87,9,41.85634295,-179.0842656,23,PSY,3045-01-30T23:58:33,
SNJS5A_1_N001,15.272,2,33.2,3045-01-31T23:25:20,50,96,96,26,42.42602295,-178.7518313,22,PSY,3045-01-31T22:58:34,
STATXND_1_N013,9.96,2,33.2,3045-02-01T02:03:12,69,99,99,49,43.247666,-180.0095545,1,PSY,3045-02-01T01:13:33,
W1LF5_1_N002,11.952,2,33.2,3045-02-06T23:32:00,63,99,99,138,42.41315985,-179.0891358,21,PSY,3045-02-06T21:13:34,
PAULSWT_1_N013,21.248,2,33.2,3045-02-12T20:41:18,35,99,99,202,41.83541897,-179.0527922,17,PSY,3045-02-12T17:18:33,
PAULSWT_1_N013,21.912,2,33.2,3045-02-18T23:56:23,13,79,79,177,41.83544971,-179.0528117,20,PSY,3045-02-18T20:58:33,
PAULSWT_1_N013,27.888,2,33.2,3045-02-25T23:58:12,16,100,100,369,41.83542706,-179.0528764,17,PSY,3045-02-25T17:48:33,
PAULSWT_1_N013,2.988,2,33.2,3045-03-10T00:23:48,81,90,90,32,41.8563478,-179.0843303,23,PSY,3045-03-09T23:51:00,
L1SALTS_6_N005,3.32,2,33.2,3045-03-20T19:10:03,90,100,100,69,42.50142175,-179.4296439,18,PSY,3045-03-20T18:00:59,
1AKLAND_1_N001,8.632,2,33.2,3045-03-27T20:28:42,36,62,62,82,43.17335126,-179.9408348,19,PSY,3045-03-27T19:06:00,
L1SGATS_6_N201,3.652,2,33.2,3045-03-28T17:35:40,79,90,90,39,42.24524543,-178.9919749,16,PSY,3045-03-28T16:56:00,
PAULSWT_1_N013,16.6,2,33.2,3045-03-29T00:43:51,50,100,100,237,41.83542706,-179.0528926,20,PSY,3045-03-28T20:46:00,
L1SGATS_6_N201,5.644,2,33.2,3045-04-02T20:45:18,64,81,81,49,42.25132587,-179.0017605,19,PSY,3045-04-02T19:56:00,
PAULSWT_1_N013,13.28,2,33.2,3045-04-03T14:02:09,60,100,100,701,41.83543192,-179.0529896,2,PSY,3045-04-03T02:21:01,
L1SGATS_6_N201,3.32,2,33.2,3045-04-04T00:05:32,16,26,26,29,42.25011561,-179.0030743,23,PSY,3045-04-03T23:36:00,
PAULSWT_1_N013,29.548,2,33.2,3045-04-04T14:05:56,11,100,100,799,41.83541088,-179.0529896,0,PSY,3045-04-04T00:46:00,
FMC_1_N001,4.316,2,33.2,3045-04-15T14:20:49,79,92,92,49,42.47576998,-178.8064744,13,PSY,3045-04-15T13:31:00,
FMC_1_N001,0.664,2,33.2,3045-04-15T15:12:23,94,96,96,6,42.47576998,-178.8064744,15,PSY,3045-04-15T15:06:00,
PAULSWT_1_N013,9.628,2,33.2,3045-04-16T17:23:26,71,100,100,107,41.83540765,-179.0528764,15,PSY,3045-04-16T15:36:00,
GL5NW11D_6_N004,6.64,2,33.2,3045-04-16T20:54:17,58,78,78,78,42.60795734,-179.5780954,19,PSY,3045-04-16T19:36:00,
PAULSWT_1_N013,17.928,2,33.2,3045-04-17T00:55:13,46,100,100,169,41.83540117,-179.0528117,22,PSY,3045-04-16T22:06:03,
PAULSWT_1_N013,5.644,2,33.2,3045-04-18T20:01:49,83,100,100,370,41.83538823,-179.0528764,13,PSY,3045-04-18T13:51:00,
D5LMNT5_1_N010,10.292,2,33.2,3045-04-21T20:27:45,13,44,44,16,41.27303453,-178.5554061,20,PSY,3045-04-21T20:11:00,
VX5J1SC_2_N001,1.66,2,33.2,3045-04-21T21:02:20,40,45,45,11,41.21646763,-178.7286939,20,PSY,3045-04-21T20:51:00,
HATT1N_6_N001,10.624,2,33.2,3045-04-28T21:31:52,53,85,85,119,41.16411401,-178.8041251,19,PSY,3045-04-28T19:32:43,
BAYMDWS_1_N004,6.64,2,33.2,3045-05-01T01:41:36,69,89,89,8,42.76976381,-180.0002477,1,PSY,3045-05-01T01:32:44,
PRUN5DL5_1_N001,7.636,2,33.2,3045-05-12T16:49:30,74,97,97,16,41.56733741,-177.9719229,16,PSY,3045-05-12T16:32:43,
W1LF5_1_N002,7.304,2,33.2,3045-05-14T20:58:50,71,93,93,76,42.41317279,-179.0889901,19,PSY,3045-05-14T19:42:43,
L1SGATS_6_N201,5.976,2,33.2,3045-05-15T02:20:02,82,100,100,147,42.24525028,-178.9920719,23,PSY,3045-05-14T23:52:43,
HLFMNBY_6_N101,14.94,2,33.2,3045-05-21T20:19:46,49,94,94,32,42.64650619,-180.4588213,19,PSY,3045-05-21T19:47:43,
BAYSH1R2_1_N001,2.1,3,21,3044-08-28T00:50:42,36,46,46,22,-17.9777776,215.7333312,0,PSY,3044-08-28T00:28:08,
L5C5FGT1_7_B1,12.8952,4,35.82,3044-08-15T14:52:27,64,100,100,564,42.33421763,-178.2583607,5,PSY_B,3044-08-15T05:28:23,
L5C5FGT1_7_B1,13.9698,4,35.82,3044-08-16T14:52:53,61,100,100,694,42.33415615,-178.2580177,3,PSY_B,3044-08-16T03:18:23,
ST5LLXNG_1_N007,7.164,4,35.82,3044-08-17T01:00:03,80,100,100,276,42.3997531,-179.2197245,20,PSY_B,3044-08-16T20:23:30,
SWXFT_1_GN001,8.2386,4,35.82,3044-08-17T14:53:11,77,100,100,569,42.33428882,-178.2579853,5,PSY_B,3044-08-17T05:23:30,
W1LF5_1_N002,7.164,4,35.82,3044-08-17T22:56:49,80,100,100,103,42.42796779,-179.0742469,21,PSY_B,3044-08-17T21:13:32,
L5C5FGT1_7_B1,10.746,4,35.82,3044-08-18T16:01:21,70,100,100,757,42.33412702,-178.2583413,3,PSY_B,3044-08-18T03:23:23,
L5C5FGT1_7_B1,2.5074,4,35.82,3044-08-19T05:02:21,93,100,100,548,42.33413835,-178.2582119,19,PSY_B,3044-08-18T19:53:26,
L5C5FGT1_7_B1,2.5074,4,35.82,3044-08-19T23:22:06,93,100,100,173,42.33417556,-178.2582119,20,PSY_B,3044-08-19T20:28:28,
SWXFT_1_GN001,3.2238,4,35.82,3044-08-20T14:53:59,91,100,100,675,42.3342241,-178.2582604,3,PSY_B,3044-08-20T03:38:29,
W1LF5_1_N002,5.7312,4,35.82,3044-08-20T21:07:37,80,96,96,59,42.41315014,-179.0874369,20,PSY_B,3044-08-20T20:08:34,
SWXFT_1_GN001,11.1042,4,35.82,3044-08-21T14:42:46,69,100,100,569,42.33423057,-178.2583089,5,PSY_B,3044-08-21T05:13:28,
SWXFT_1_GN001,12.8952,4,35.82,3044-08-22T15:02:34,64,100,100,589,42.33426132,-178.2579853,5,PSY_B,3044-08-22T05:13:27,
